BookId,ChapterId,HikeId,Hike Title,Rating,Difficulty,Distance (mi),Elevation Gain (ft),High Point (ft),Season
1,6,113,Teanaway Ridge,3,3,6,1900,5489,July-Oct
1,6,114,Tronsen Ridge,4,2,8,1000,5800,June-Oct
1,6,115,Mount Lillian,4,2,3,600,6150,June-Oct
1,7,116,John Wayne Trail,3,1,6,200,1700,Year-round
1,7,117,Westburg Trail,3,2,4,1800,3560,Apr-July
1,7,118,Observation Road-Manastash Ridge,4,2,10,900,3930,Mar-May
1,7,119,Rattlesnake Dance Ridge Trail,4,2,2.2,1200,2600,Apr-July
1,7,120,Umtanum Creek Canyon,4,1,6,600,2200,May-Oct
1,7,121,Umtanum Ridge,3,5,4,800,2200,May-Oct
1,7,122,Umtanum Creek Falls,3,2,6,700,2000,May-Oct
1,7,123,Joe Watt Canyon,3,3,6,1000,3100,May-Sept
1,7,124,Robinson Canyon,4,3,10,2200,3200,May-Sept
1,7,125,Whiskey Dick Mountain: Wind Farms,3,3,5,1000,3873,Apr-Nov
1,7,126,Whiskey Dick Mountain: Rocky Coulee,4,3,8,1750,2261,March-July
1,8,127,Pinnacle Peak,3,2,2,1000,1825,Year-round
1,8,128,Echo Mountain,2,2,4,400,880,Year-round
1,8,129,Federation Forest,3,2,2,200,1800,Year-round
1,8,130,Kelly Butte,4,2,3.6,1000,5385,July-Oct
1,8,131,Colquhoun Peak,3,2,2.6,600,5172,July-Oct
1,8,132,Lake George-Noble Knob's Backdoor,3,2,3.5,1300,6011,July-Oct
1,8,133,Blowout Mountain,3,2,6.8,1800,5655,July-Oct
1,8,134,Pyramid Peak,3,2,6.5,1000,5715,June-Oct
1,8,135,Greenwater-Echo Lake,3,3,14,1600,4100,May-Nov
2,1,1,Double Bluff,4,1,4,0,0,Year-round
2,1,2,South Whidbey State Park,2,2,2.7,200,400,Year-round
2,3,12,Greider Lakes,3,3,8.6,1370,2930,June-Nov
2,3,13,Boulder Lake,3,4,13.8,2140,3700,June-Nov
3,2,16,Cispus Braille Trail,2,1,1,0,7337,May-Oct
3,2,17,Burley Mountain,2,2,1.5,400,5304,July-Oct
3,1,1,High Rock,5,4,3.5,1400,5658,late Jun-Oct
3,1,2,Purcell Lookout,5,5,7,2600,5442,late June-Oct
